ms,Frequency,Pulse Count, Duration
101,4631.36,223,24075
201,5808,193,16615
301,3164.46,198,31285
401,11203.55,202,9015
501,4111.19,197,23959
601,3157.09,198,31358
701,4021.67,193,23995
801,5741.57,190,16546
901,4070.3,195,23954
1001,5840.48,192,16437
1101,11486.64,208,9054
1201,4120.65,197,23904
1301,3260.56,204,31283
1401,3154.88,198,31380
1501,3147.97,197,31290
1601,4246.33,203,23903
1701,6204.82,206,16600
1801,6660.94,217,16289
1901,4278.5,205,23957
2001,4475.54,213,23796
2101,4401.41,210,23856
2201,3375.57,211,31254
2301,6424.31,211,16422
2401,11586.25,207,8933
2501,3333.65,209,31347
2601,70380.25,211,1499
2701,6546.34,214,16345
2801,6768.6,224,16547
2902,12594.46,230,9131
3002,5041.42,241,23902
3109,5182.1,249,24025
3209,3716.53,234,31481
3309,6584.11,218,16555
3409,4546.21,219,24086
3509,4716.78,225,23851
3609,4826.05,230,23829
3709,6604.34,219,16580
3809,3634.51,228,31366
3909,3568.23,223,31248
4009,12608.74,229,9081
4109,5270.61,253,24001
4209,4753.47,247,25981
4310,7297.95,242,16580
4417,4453.88,214,24024
4517,4084.8,195,23869
4617,2430.74,189,38877
4717,4689.28,222,23671
4817,13017.62,232,8911
4917,3929.3,245,31176
5017,76514.68,245,1601
5117,7157.78,233,16276
5217,12574.45,228,9066
5317,13471.39,242,8982
5417,5338.75,255,23882
5517,3720.86,233,31310
5617,4979.7,238,23897
5718,5156.57,248,24047
5818,5336.45,256,23986
5918,5928.85,288,24288
6018,4955.07,236,23814
6118,14399.91,263,9132
6225,5781.79,278,24041
6325,7186.67,239,16628
6425,5155.5,246,23858
6525,5124.33,244,23808
6625,5567.04,264,23711
6725,7494.97,246,16411
6825,4181.35,261,31210
6925,8148.06,269,16507
7025,5870.22,279,23764
7126,7914.37,261,16489
7226,4490.5,283,31511
7333,14811.98,271,9148
7434,3259.18,252,38660
7534,5795.88,276,23810
7634,8588.25,283,16476
7734,75000,249,1660
7834,6135.99,294,23957
7934,16015.2,295,9210
8034,7547.98,247,16362
8134,8778.86,289,16460
8242,4807.39,301,31306
8342,3604.72,280,38838
8442,6500.02,311,23923
8542,8883.4,295,16604
8642,6133.82,295,24047
8742,6566.88,315,23984
8842,15618.13,284,9092
8942,12083.66,312,12910
9046,7608.97,302,19845
9146,5445.49,282,25893
9247,8232.97,350,21256
9347,4462.94,266,29801
9450,11186.32,314,14035
9550,9820.34,258,13136
9650,6477.86,285,21998
9750,18629.74,304,8159
9858,5233.79,272,25985
9958,5191.75,274,26388
10058,6896.85,322,23344
10158,3778.94,269,35592
10258,9305.85,381,20471
10358,7795.25,353,22642
10458,4820.03,263,27282
10558,6265.52,333,26574
10658,10694.13,326,15242
10758,6221.79,317,25475
10858,4913.65,309,31443
10958,5304.75,290,27334
11058,6981.98,310,22200
11158,11696.78,312,13337
11258,6994.73,284,20301
11358,7489.62,303,20228
11458,4197.32,283,33712
11558,6916.95,304,21975
11658,14101.57,326,11559
11758,8118.46,318,19585
11858,6617.44,285,21534
11958,6540.31,323,24693
12058,9048.28,301,16633
12166,6278.2,334,26600
12266,7258.33,264,18186
12366,4793.14,209,21802
12466,5986.76,284,23719
12566,9598.9,280,14585
12666,2822.28,260,46062
12766,5759.63,270,23439
12866,6384.95,262,20517
12966,8683.55,312,17965
13066,6562.76,272,20723
13166,9602.32,212,11039
13266,16733.07,210,6275
13366,7471.2,275,18404
13466,5513.56,283,25664
13566,7405.78,303,20457
13666,32351.87,356,5502
13766,6221.36,296,23789
13867,10707.91,252,11767
13967,7594.21,343,22583
14067,7578.3,316,20849
14167,12206.62,259,10609
14270,5614.99,296,26358
14373,8334.64,318,19077
14474,14173.3,317,11183
14574,5143.48,328,31885
14674,5277.5,213,20180
14774,4385.73,167,19039
14874,8624.27,249,14436
14974,5865.9,323,27532
15074,4574.97,248,27104
15174,5905.05,254,21507
15275,9179.82,321,17484
15375,5754.59,266,23112
15475,4078.22,229,28076
15575,8879.45,368,20722
15675,3376.35,214,31691
15775,6934.29,332,23939
15875,5107.08,279,27315
15976,7301.75,344,23556
16082,10459.38,301,14389
16182,3837.91,290,37781
16282,9972.69,336,16846
16382,5653.99,247,21843
16482,7242.72,316,21815
16582,6769.6,235,17357
16683,7559.8,201,13294
16786,5724.32,300,26204
16889,12177.19,414,16999
16990,5455.94,356,32625
17090,6891.61,346,25103
17190,5672.04,323,28473
17290,3531.22,266,37664
17390,6094.29,318,26090
17490,4118.13,280,33996
17590,18506.32,337,9105
17690,6313.23,312,24710
17790,10365.22,298,14375
17890,4696.31,255,27149
17990,10284.19,317,15412
18091,6292.13,323,25667
18191,11496.41,307,13352
18292,6084.48,295,24242
18393,6325.54,269,21263
18496,3593.79,202,28104
18597,4053.3,219,27015
18699,6503.22,287,22066
18799,7360.79,317,21533
18899,10766.41,329,15279
18999,6135.68,263,21432
19099,10827.61,331,15285
19207,4064.41,313,38505
19307,5772.13,268,23215
